StartDate,EndDate,Lieu,mandat,TypeEpreuve,Departement,Distance,Etat02/10/2021,03/10/2021,TRAPPES,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Annulée
09/10/2021,10/10/2021,SANNOIS,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
16/10/2021,17/10/2021,BUC,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
16/10/2021,17/10/2021,VILLEPARISIS,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
23/10/2021,24/10/2021,MONTIGNY LE BRETONNEUX,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
23/10/2021,24/10/2021,MÉRIEL,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
30/10/2021,31/10/2021,CARRIERES SUR SEINE,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
06/11/2021,07/11/2021,LES MUREAUX,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
06/11/2021,07/11/2021,MENNECY,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
06/11/2021,07/11/2021,VINCENNES,mandat,Tir en Salle, 94000 - COMITE DEPARTEMENTAL VAL DE MARNE, distance, Validée
06/11/2021,07/11/2021,TORCY,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
13/11/2021,14/11/2021,MASSY,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
13/11/2021,14/11/2021,RAMBOUILLET,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Annulée
13/11/2021,14/11/2021,FONTAINEBLEAU,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
13/11/2021,14/11/2021,VILLEPREUX,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
13/11/2021,14/11/2021,CRETEIL,mandat,Tir en Salle, 94000 - COMITE DEPARTEMENTAL VAL DE MARNE, distance, Validée
20/11/2021,21/11/2021,OZOIR LA FERRIERE,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
20/11/2021,21/11/2021,RUEIL MALMAISON,mandat,Tir en Salle, 92000 - COMITE DEPARTEMENTAL HAUTS DE SEINE, distance, Validée
20/11/2021,20/11/2021,MORSANG SUR ORGE,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
20/11/2021,21/11/2021,OSNY 95520,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
20/11/2021,21/11/2021,CONFLANS STE HONORINE,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
21/11/2021,21/11/2021,MORSANG SUR ORGE,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
27/11/2021,28/11/2021,LE PLESSIS-ROBINSON,mandat,Tir en Salle, 92000 - COMITE DEPARTEMENTAL HAUTS DE SEINE, distance, Validée
27/11/2021,28/11/2021,TREMBLAY EN FRANCE,mandat,Tir en Salle, 93000 - COMITE DEPARTEMENTAL SEINE ST DENIS, distance, Validée
27/11/2021,28/11/2021,MONTMORENCY,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
27/11/2021,28/11/2021,SAVIGNY LE TEMPLE,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
27/11/2021,28/11/2021,FONTENAY LE FLEURY,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
27/11/2021,28/11/2021,VILLIERS SUR MARNE,mandat,Tir en Salle, 94000 - COMITE DEPARTEMENTAL VAL DE MARNE, distance, Validée
27/11/2021,28/11/2021,MONTLHERY,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Annulée
04/12/2021,05/12/2021,ACHERES,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
04/12/2021,05/12/2021,CHAVILLE,mandat,Tir en Salle, 92000 - COMITE DEPARTEMENTAL HAUTS DE SEINE, distance, Validée
04/12/2021,05/12/2021,QUINCY-VOISINS,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
04/12/2021,05/12/2021,LE PERREUX SUR MARNE,mandat,Tir en Salle, 94000 - COMITE DEPARTEMENTAL VAL DE MARNE, distance, Validée
04/12/2021,05/12/2021,ORSAY,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
04/12/2021,05/12/2021,PONTOISE,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
11/12/2021,12/12/2021,GAGNY,mandat,Tir en Salle, 93000 - COMITE DEPARTEMENTAL SEINE ST DENIS, distance, Validée
11/12/2021,12/12/2021,ESBLY,mandat,Tir en Salle, 77000 - COMITE DEPARTEMENTAL SEINE ET MARNE, distance, Validée
11/12/2021,12/12/2021,ERAGNY SUR OISE,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
11/12/2021,12/12/2021,PARIS 15,mandat,Tir en Salle, 75000 - COMITE DEPARTEMENTAL PARIS, distance, Validée
11/12/2021,12/12/2021,MAGNY LES HAMEAUX,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
11/12/2021,12/12/2021,SURESNES,mandat,Tir en Salle, 92000 - COMITE DEPARTEMENTAL HAUTS DE SEINE, distance, Validée
12/12/2021,12/12/2021,MORANGIS,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
12/12/2021,12/12/2021,ERAGNY SUR OISE,mandat,Tir en Salle, -, distance, Validée
12/12/2021,12/12/2021,ERAGNY SUR OISE,mandat,Tir en Salle, -, distance, Validée
18/12/2021,19/12/2021,GUYANCOURT,mandat,Tir en Salle, 78000 - COMITE DEPARTEMENTAL YVELINES, distance, Validée
18/12/2021,19/12/2021,VIARMES,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
18/12/2021,19/12/2021,CHÂTENAY-MALABRY,mandat,Tir en Salle, 92000 - COMITE DEPARTEMENTAL HAUTS DE SEINE, distance, Validée
18/12/2021,19/12/2021,ATHIS-MONS,mandat,Tir en Salle, 91000 - C.D. TIR A L'ARC ESSONNE, distance, Validée
18/12/2021,19/12/2021,VIARMES,mandat,Tir en Salle, 95000 - COMITE DEPARTEMENTAL VAL D'OISE, distance, Validée
18/12/2021,19/12/2021,C.T.S. CHENNEVIERES SUR MARNE,mandat,Tir en Salle, 94000 - COMITE DEPARTEMENTAL VAL DE MARNE, distance, Validée
